Table;Variable;Enquête complète_LifePAP;Enquête complète_QLittorea complet;Enquête complète_QLittorea intermédiaire;Enquête complète_QLittorea simplifié;Enquête sensibilisation_LifePAP;Enquête sensibilisation_QLittorea complet;Enquête sensibilisation_QLittorea intermédiaire;Enquête sensibilisation_QLittorea simplifié
ficheTerrain;organisme suivi;  0,0000000;  0,0000000;  6,8273092;  1,0000000;  0,00000000; 13,6231884;NA;NA
ficheTerrain;période;100,0000000;  0,0000000;  9,4377510;  0,0000000; 30,94880774;  0,1449275;NA;NA
ficheTerrain;précipitations; 68,8953961;  1,5625000; 21,4859438;  0,5000000; 34,21710855;  0,1449275;NA;NA
ficheTerrain;pression atmosphérique;100,0000000; 61,4583333; 71,0843373;100,0000000;100,00000000; 94,4927536;NA;NA
ficheTerrain;référent sortie;  0,3578982;  0,0000000;  0,0000000;  0,0000000;  2,70135068;  0,0000000;NA;NA
ficheTerrain;site;  0,3090939;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;sous site;100,0000000;100,0000000;100,0000000;100,0000000;100,00000000;100,0000000;NA;NA
ficheTerrain;température; 52,4646169; 32,8125000; 59,2369478;100,0000000; 37,66883442; 90,8695652;NA;NA
ficheTerrain;territoire;  0,3090939;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;type de suivi;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;type protocole;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;version protocole; 26,1102977;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;versionProtoSimp;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;zone habitat;100,0000000;100,0000000;100,0000000;100,0000000;100,00000000;100,0000000;NA;NA
jourPeche;Code Enquète;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
jourPeche;Conformité maille;100,0000000; 99,6124031;100,0000000;100,0000000; 52,84308821; 34,8396501;NA;NA
jourPeche;Conformité quantité;100,0000000; 99,6124031;100,0000000;100,0000000;100,00000000; 42,1282799;NA;NA
jourPeche;Espece; 13,2250868; 15,1162791; 12,0331950; 10,3244838;100,00000000;100,0000000;NA;NA
jourPeche;Heure début récolte;100,0000000; 38,3720930; 96,2655602;  4,1297935;100,00000000; 99,8542274;NA;NA
jourPeche;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
jourPeche;Libellé Sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
jourPeche;libelle_sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
jourPeche;Nb individus; 52,8631631; 41,0852713; 43,8450899; 17,9941003;100,00000000;100,0000000;NA;NA
jourPeche;Nb maille;100,0000000; 49,2248062; 51,1756570; 20,3539823;100,00000000;100,0000000;NA;NA
jourPeche;Nb pêcheurs récolte;  6,0609817;  5,8139535;  2,0746888;  5,3097345;100,00000000; 99,8542274;NA;NA
jourPeche;Panier vide;  0,0000000;  3,4883721; 47,9944675;  0,8849558;  0,00000000;  0,0000000;NA;NA
jourPeche;Poids maille; 75,2107090; 72,0930233; 97,3720609; 97,9351032;100,00000000;100,0000000;NA;NA
jourPeche;Poids récolte; 61,5518096; 68,2170543; 96,8188105; 97,6401180;100,00000000;100,0000000;NA;NA
jourPeche;Taille échantillon;100,0000000; 51,9379845; 99,4467497; 14,1592920;100,00000000;100,0000000;NA;NA
jourPeche;Temps passé récolte; 18,6787308;  2,7131783;  0,0000000;  1,7699115;100,00000000; 99,8542274;NA;NA
jourPeche;Temps total Peche; 17,3648984;  5,4263566;  3,7344398;  3,8348083;100,00000000;100,0000000;NA;NA
jourPeche;Tri du panier;100,0000000; 99,6124031;100,0000000;100,0000000;100,00000000; 49,8542274;NA;NA
jourPeche;Type évaluation;100,0000000; 15,1162791; 12,0331950; 10,3244838;100,00000000;100,0000000;NA;NA
jourPeche;Type évaluation maille;100,0000000; 15,1162791; 12,0331950; 10,3244838;100,00000000;100,0000000;NA;NA
jourPeche;Volume maille;100,0000000; 94,1860465;100,0000000; 96,1651917;100,00000000;100,0000000;NA;NA
jourPeche;Volume récolté; 95,0545364; 92,6356589;100,0000000; 95,8702065;100,00000000;100,0000000;NA;NA
pratPeche;Annee Premiere Peche; 33,9189849; 22,5130890; 98,9878543;100,0000000;100,00000000;100,0000000;NA;NA
pratPeche;Autre Sites fréquentés;  0,0000000;  5,7591623; 90,0809717; 97,4619289;100,00000000; 99,8522895;NA;NA
pratPeche;Autres types de peche;  0,0000000;  9,4240838;  2,6315789; 96,4467005;100,00000000; 99,8522895;NA;NA
pratPeche;Choix des marées; 40,3936880;  2,6178010;  0,2024291; 96,4467005;100,00000000; 99,8522895;NA;NA
pratPeche;Code Enquète;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
pratPeche;Coefficient Maree Mini; 36,7659021; 26,1780105; 23,4817814; 97,9695431;100,00000000; 99,8522895;NA;NA
pratPeche;Coefficient Maree NSP;100,0000000; 79,0575916; 76,7206478; 98,4771574;100,00000000;100,0000000;NA;NA
pratPeche;Conformité outil(s);100,0000000; 54,9738220; 94,5344130;  6,0913706;100,00000000; 36,4844904;NA;NA
pratPeche;Connaissance Reglement;  0,0000000;  4,1884817; 40,2834008; 16,2436548;100,00000000; 99,8522895;NA;NA
pratPeche;Départements; 72,0026029; 26,1780105; 99,1902834;100,0000000;100,00000000; 99,8522895;NA;NA
pratPeche;Espéces; 15,1618676;  0,5235602;  0,0000000;  2,5380711; 79,02284476;  1,3293944;NA;NA
pratPeche;Espéces prélevées; 53,9775500; 18,3246073; 91,7004049; 86,2944162;100,00000000; 99,8522895;NA;NA
pratPeche;Estimation Reglement; 57,3613145;  3,1413613; 16,5991903;  2,0304569;100,00000000; 99,8522895;NA;NA
pratPeche;Frequence Declaree Peche; 94,7942086; 92,6701571; 95,3441296; 98,9847716;100,00000000;100,0000000;NA;NA
pratPeche;Frequence Indiquee; 98,9100374; 89,5287958; 99,7975709;100,0000000;100,00000000;100,0000000;NA;NA
pratPeche;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
pratPeche;Libellé Sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
pratPeche;libelle_sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
pratPeche;Milieu(x); 35,0089475;  4,7120419; 60,3238866; 95,9390863; 96,04802401; 73,4121123;NA;NA
pratPeche;Mois de peche; 27,6883032; 16,2303665; 97,3684211; 97,4619289;100,00000000; 99,8522895;NA;NA
pratPeche;Motivation(s); 43,0616561;  1,5706806;  0,0000000; 96,4467005;100,00000000; 99,8522895;NA;NA
pratPeche;Nb Peches Annuelles; 41,5487230;  4,1884817; 19,6356275; 97,4619289;100,00000000; 99,8522895;NA;NA
pratPeche;Nom sites; 67,6915569; 30,8900524; 99,1902834;100,0000000;100,00000000; 99,8522895;NA;NA
pratPeche;Outils ou techniques;  5,6124939;  3,1413613;  2,4291498;  1,5228426;100,00000000; 40,0295421;NA;NA
pratPeche;Peche Chaque Annee;  0,0000000;  1,0471204;  0,4048583; 80,7106599;100,00000000; 99,8522895;NA;NA
pratPeche;Péche du jour; 37,7094518;  8,9005236; 94,3319838; 96,4467005;100,00000000; 99,8522895;NA;NA
pratPeche;Prélèvement annuel nombre;100,0000000; 98,9528796;100,0000000;100,0000000;100,00000000;100,0000000;NA;NA
pratPeche;Prélèvement annuel poids;100,0000000; 98,9528796;100,0000000;100,0000000;100,00000000;100,0000000;NA;NA
pratPeche;Premiere Peche; 21,0509191;  3,1413613; 74,2914980; 95,9390863;100,00000000; 99,8522895;NA;NA
prepPeche;Annuaire de marée;  0,0000000;  0,5235602;  0,0000000;  1,0000000;100,00000000; 99,8544396;NA;NA
prepPeche;Code Enquète;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
prepPeche;Connaissance Numéro Secours;100,0000000; 73,2984293;100,0000000; 83,5000000;100,00000000; 99,8544396;NA;NA
prepPeche;Constitution Groupe;  4,2622417;  0,5235602;  0,0000000; 79,0000000;100,00000000; 99,8544396;NA;NA
prepPeche;Critéres choix site; 28,8921425;  1,5706806;  0,0000000; 96,5000000;100,00000000; 99,8544396;NA;NA
prepPeche;Enquete Hors Panier;  0,0000000;  3,1413613; 60,7287449; 80,0000000;  0,00000000; 99,8544396;NA;NA
prepPeche;Equipé Téléphone portable;100,0000000; 73,2984293;100,0000000; 83,5000000;100,00000000; 99,8544396;NA;NA
prepPeche;Etat Sanitaire;  0,0000000;  0,5235602;  0,0000000;  9,0000000;100,00000000; 99,8544396;NA;NA
prepPeche;Heure Début; 21,6691069; 13,0890052; 36,6396761;  2,0000000;100,00000000; 99,8544396;NA;NA
prepPeche;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
prepPeche;Libellé Sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
prepPeche;libelle_sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
prepPeche;Nb adultes;  2,4727509;  5,2356021; 31,1740891;  7,0000000;100,00000000; 73,7991266;NA;NA
prepPeche;Nb Depliants; 91,7195380; 39,2670157; 85,0202429; 81,0000000; 54,81073870; 75,5458515;NA;NA
prepPeche;Nb enfants;  2,4890190;  5,2356021; 31,1740891;  7,0000000;100,00000000; 73,7991266;NA;NA
prepPeche;Nb pecheurs groupe;  1,9521718;  0,0000000;  0,0000000;  0,0000000;  2,88477572;  0,0000000;NA;NA
prepPeche;Nb Pecheurs Sensibilises;100,0000000;  7,3298429; 71,8623482; 82,0000000;  1,61747540;  0,4366812;NA;NA
prepPeche;Nb Reglettes; 44,6559297;  3,6649215; 70,2429150;  2,0000000;  1,75087544;  0,5822416;NA;NA
prepPeche;Nb tous petits;100,0000000;100,0000000;100,0000000;100,0000000;100,00000000; 98,8355167;NA;NA
prepPeche;Num Enquéte;  0,1301448;  8,9005236; 64,5748988;  0,0000000;  0,00000000; 97,2343523;NA;NA
prepPeche;Numéro Secours;100,0000000;100,0000000;100,0000000;100,0000000;100,00000000;100,0000000;NA;NA
prepPeche;Observateurs;  0,3578982;  0,0000000;  0,0000000;  0,0000000;  2,70135068;  0,0000000;NA;NA
prepPeche;Observations; 94,2410932; 78,0104712; 98,7854251; 96,5000000; 99,59979990; 95,4876274;NA;NA
prepPeche;Panier Complet;  0,0000000;  3,1413613; 61,7408907; 80,0000000;  0,00000000; 99,8544396;NA;NA
prepPeche;Pecheur enqueté;  0,0000000;  3,6649215; 62,1457490; 92,5000000;  0,00000000;  1,8922853;NA;NA
prepPeche;Pecheur Sensibilisé;  0,0000000;  0,5235602;  0,4048583; 92,5000000;  0,00000000;  0,2911208;NA;NA
prepPeche;Source d'information; 23,9791768; 59,1623037; 50,4048583; 72,5000000;100,00000000;100,0000000;NA;NA
