"ID fiche";"type de suivi";"date sortie";"heure début";"heure fin";"coefficient marée";"heure marée basse";"hauteur basse mer";"période";"libellé campagne";"libellé sortie";"référent sortie";"équipe terrain";"territoire";"code site";"site";"zone";"type protocole";"version protocole";"auteur saisie";"organisme suivi";"couverture nuageuse";"précipitations";"pression atmosphérique";"température";"force du vent";"force du vent en rafale";"direction du vent";"état de la mer";"commentaires"
356901;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-416";"Mathilde Mahé";;"Etang de Berre";"BERR_20";"Massane";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356903;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-417";"Mathilde Mahé";;"Etang de Berre";"BERR_17";"Varage";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356905;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-418";"Mathilde Mahé";;"Etang de Berre";"BERR_16";"Ranquet";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356907;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-419";"Mathilde Mahé";;"Etang de Berre";"BERR_14";"Romaniquette";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356909;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-420";"Mathilde Mahé";;"Etang de Berre";"BERR_13";"Monteau";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356911;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-421";"Mathilde Mahé";;"Etang de Berre";"BERR_09";"Champigny";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;25.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Sud-Ouest";;
356913;"Suivi de la fréquentation des pêcheurs";"2017-08-23 00:00:00.0";;;;;;"Vacances";"aou-17";"2017-08-23-BERR-FRE-422";"Mathilde Mahé";;"Etang de Berre";"BERR_37";"Bouquet";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;24.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
356915;"Suivi de la fréquentation des pêcheurs";"2018-05-29 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-29-BERR-FRE-002";"Mathilde Mahé";;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;24.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Sud-Est";;
356917;"Suivi de la fréquentation des pêcheurs";"2018-05-29 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-29-BERR-FRE-003";"Mathilde Mahé";;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;24.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Sud-Est";;
356919;"Suivi de la fréquentation des pêcheurs";"2018-05-29 00:00:00.0";;;;;;"Semaine";"mai-18";"2018-05-29-BERR-FRE-004";"Mathilde Mahé";;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;24.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Sud-Est";;
356923;"Suivi de la fréquentation des pêcheurs";"2018-06-03 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jun-18";"2018-06-03-BERR-FRE-001";"Mathilde Mahé";;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;23.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356925;"Suivi de la fréquentation des pêcheurs";"2018-06-05 00:00:00.0";;;;;;"Semaine";"jun-18";"2018-06-05-BERR-FRE-001";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1011.0;22.0;"1-Très légère brise-1 à 5 km/h-Mer ridée";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Sud";;
356927;"Suivi de la fréquentation des pêcheurs";"2018-06-05 00:00:00.0";;;;;;"Semaine";"jun-18";"2018-06-05-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1011.0;22.0;"1-Très légère brise-1 à 5 km/h-Mer ridée";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Sud";;
356929;"Suivi de la fréquentation des pêcheurs";"2018-06-05 00:00:00.0";;;;;;"Semaine";"jun-18";"2018-06-05-BERR-FRE-004";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1011.0;23.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356931;"Suivi de la fréquentation des pêcheurs";"2018-06-26 00:00:00.0";;;;;;"Semaine";"jun-18";"2018-06-26-BERR-FRE-001";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;29.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356933;"Suivi de la fréquentation des pêcheurs";"2018-06-26 00:00:00.0";;;;;;"Semaine";"jun-18";"2018-06-26-BERR-FRE-003";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1018.0;29.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356935;"Suivi de la fréquentation des pêcheurs";"2018-07-02 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-02-BERR-FRE-001";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1013.0;29.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356937;"Suivi de la fréquentation des pêcheurs";"2018-07-02 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-02-BERR-FRE-003";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1013.0;29.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
356939;"Suivi de la fréquentation des pêcheurs";"2018-07-02 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-02-BERR-FRE-004";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1013.0;29.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357035;"Suivi de la fréquentation des pêcheurs";"2018-07-03 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-03-BERR-FRE-001";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;29.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357037;"Suivi de la fréquentation des pêcheurs";"2018-07-03 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-03-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;29.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357039;"Suivi de la fréquentation des pêcheurs";"2018-07-03 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-03-BERR-FRE-004";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;29.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357042;"Suivi de la fréquentation des pêcheurs";"2018-07-04 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-04-BERR-FRE-001";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;28.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357044;"Suivi de la fréquentation des pêcheurs";"2018-07-04 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-04-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;28.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357051;"Suivi de la fréquentation des pêcheurs";"2018-07-05 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-05-BERR-FRE-001";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1014.0;31.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Ouest";;
357053;"Suivi de la fréquentation des pêcheurs";"2018-07-05 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-05-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1014.0;31.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Ouest";;
357055;"Suivi de la fréquentation des pêcheurs";"2018-07-05 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-05-BERR-FRE-004";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1014.0;31.0;"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"5-Bonne brise-29 à 38 km/h-Vagues modérées.";"Ouest";;
357058;"Suivi de la fréquentation des pêcheurs";"2018-07-04 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-04-BERR-FRE-003";;;"Etang de Berre";"BERR_05";"MarettesMarina";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;29.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Ouest";;
357062;"Suivi de la fréquentation des pêcheurs";"2018-07-06 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-06-BERR-FRE-001";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;26.0;"6-Vent frais-39 à 49 km/h-Crêtes d'écume blanches.";"8-Coup de vent-62 à 74 km/h-Tourbillons d'écumes à la crête des lames";"Ouest";;
357064;"Suivi de la fréquentation des pêcheurs";"2018-07-06 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-06-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;26.0;"6-Vent frais-39 à 49 km/h-Crêtes d'écume blanches.";"8-Coup de vent-62 à 74 km/h-Tourbillons d'écumes à la crête des lames";"Ouest";;
357066;"Suivi de la fréquentation des pêcheurs";"2018-07-06 00:00:00.0";;;;;;"Semaine";"jul-18";"2018-07-06-BERR-FRE-004";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;26.0;"6-Vent frais-39 à 49 km/h-Crêtes d'écume blanches.";"8-Coup de vent-62 à 74 km/h-Tourbillons d'écumes à la crête des lames";"Ouest";;
357128;"Suivi de la fréquentation des pêcheurs";"2018-07-09 00:00:00.0";;;;;;"Vacances";"jul-18";"2018-07-09-BERR-FRE-001";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;21.0;"1-Très légère brise-1 à 5 km/h-Mer ridée";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Sud";;
357130;"Suivi de la fréquentation des pêcheurs";"2018-07-09 00:00:00.0";;;;;;"Vacances";"jul-18";"2018-07-09-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1015.0;21.0;"1-Très légère brise-1 à 5 km/h-Mer ridée";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Sud";;
357132;"Suivi de la fréquentation des pêcheurs";"2018-07-09 00:00:00.0";;;;;;"Vacances";"jul-18";"2018-07-09-BERR-FRE-004";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"AFONSO";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;25.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"2-Lègère brise-6 à 11 km/h-Vaguelettes";"Sud-Ouest";;
357268;"Suivi de la fréquentation des pêcheurs";"2018-07-07 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-07-BERR-FRE-001";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;33.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Ouest";;
357272;"Suivi de la fréquentation des pêcheurs";"2018-07-07 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-07-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;33.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Ouest";;
357274;"Suivi de la fréquentation des pêcheurs";"2018-07-07 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-07-BERR-FRE-004";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAYOT";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1016.0;33.0;"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"4-Jolie brise-20 à 28 km/h-Petites vagues. Moutons.";"Ouest";;
357286;"Suivi de la fréquentation des pêcheurs";"2018-07-08 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-08-BERR-FRE-001";;;"Etang de Berre";"BERR_01";"Jaï_Sud";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;30.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
357292;"Suivi de la fréquentation des pêcheurs";"2018-07-08 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-08-BERR-FRE-003";;;"Etang de Berre";"BERR_02";"Jaï_Centre";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;30.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
357295;"Suivi de la fréquentation des pêcheurs";"2018-07-08 00:00:00.0";;;;;;"Week-end ou Jour Férié";"jul-18";"2018-07-08-BERR-FRE-004";;;"Etang de Berre";"BERR_03";"Jaï_Nord";;"Comptage simple";;"MAHE";"Gestion intégrée, prospective et restauration de l'étang de Berre";"0-25% (Peu ou pas nuageux)";"Pas de précipitation";1017.0;30.0;"2-Lègère brise-6 à 11 km/h-Vaguelettes";"3-Petite brise-12 à 19 km/h-Très petites vagues. Déferlement.";"Sud-Ouest";;
